epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,87.8719,1.3873,8.095,0.00772,0.62858,0.45058,0.5012,0.35212,1.18028,1.64449,0.00654,0.00993939,0.00331313,0.00993939,0.00331313,0.00993939,0.00331313,0.00993939,0.00331313
2,147.865,1.34313,2.68225,0.00741,0.71757,0.67966,0.73818,0.51526,1.22365,1.10266,0.00661,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453,0.0198736,0.00662453
3,197.767,1.36138,1.4094,0.00766,0.74167,0.65144,0.7476,0.46997,1.45376,1.35622,0.00978,0.0297418,0.00991393,0.0297418,0.00991393,0.0297418,0.00991393,0.0297418,0.00991393
4,247.342,1.40706,1.1731,0.00803,0.7255,0.71524,0.77946,0.52538,1.42934,1.18091,0.0085,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,296.856,1.39525,1.04332,0.00779,0.8196,0.72332,0.81644,0.54399,1.41224,1.13611,0.00895,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,346.682,1.37503,0.94063,0.00759,0.85619,0.80284,0.86578,0.58531,1.40627,0.8939,0.00846,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,396.427,1.34472,0.9047,0.00734,0.86201,0.77492,0.8742,0.60854,1.35263,0.84893,0.00817,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,448.719,1.3262,0.85426,0.00709,0.80808,0.80218,0.84895,0.59076,1.29861,0.85647,0.00734,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,501.796,1.29618,0.78445,0.00679,0.86313,0.84016,0.89788,0.64585,1.23405,0.78015,0.00678,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,552.19,1.28731,0.74426,0.00666,0.87241,0.75276,0.85563,0.60675,1.29442,0.85793,0.00718,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,601.745,1.26698,0.74422,0.00664,0.88989,0.80985,0.89139,0.64578,1.23576,0.71284,0.00617,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
