epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.7297,1.4449,9.18889,0.00862,0.58762,0.41837,0.40396,0.2569,1.33339,1.82547,0.00775,0.000276908,0.000276908,0.000276908
2,121.096,1.3413,5.41386,0.00773,0.68285,0.56088,0.59564,0.4,1.25177,1.36525,0.00707,0.000549084,0.000549084,0.000549084
3,168.741,1.31586,3.18368,0.0075,0.75913,0.63406,0.69621,0.4925,1.21642,1.1711,0.0063,0.000815763,0.000815763,0.000815763
4,242.936,1.31592,2.03041,0.00752,0.80481,0.62813,0.76612,0.52912,1.24073,1.10057,0.00704,0.00080826,0.00080826,0.00080826
5,311.427,1.26452,1.49147,0.00709,0.8022,0.76968,0.83697,0.58086,1.23014,0.97237,0.00645,0.000800013,0.000800013,0.000800013
6,352.256,1.2636,1.22214,0.00699,0.75528,0.78864,0.83046,0.59355,1.18793,0.92366,0.00616,0.000791767,0.000791767,0.000791767
7,392.06,1.24135,1.064,0.00688,0.80743,0.78294,0.84696,0.59671,1.22514,0.90191,0.00631,0.00078352,0.00078352,0.00078352
8,431.551,1.23253,0.97551,0.00676,0.77893,0.7909,0.85,0.60667,1.18717,0.84435,0.00607,0.000775273,0.000775273,0.000775273
9,489.38,1.2135,0.90338,0.00653,0.80253,0.80455,0.87002,0.61149,1.22519,0.82499,0.00645,0.000767026,0.000767026,0.000767026
10,569.367,1.20662,0.84219,0.00643,0.80362,0.81841,0.87417,0.62688,1.22598,0.83722,0.00654,0.00075878,0.00075878,0.00075878
11,649.858,1.19025,0.79756,0.00625,0.84114,0.82133,0.87997,0.65249,1.18368,0.81242,0.00604,0.000750533,0.000750533,0.000750533
12,716.705,1.18271,0.74601,0.0063,0.83672,0.84964,0.90584,0.6544,1.20612,0.72303,0.00636,0.000742286,0.000742286,0.000742286
13,793.463,1.16101,0.7228,0.00619,0.83697,0.79309,0.87993,0.63818,1.20573,0.76372,0.00586,0.00073404,0.00073404,0.00073404
14,873.107,1.15056,0.70355,0.00598,0.87751,0.84658,0.89349,0.65404,1.19261,0.75936,0.00609,0.000725793,0.000725793,0.000725793
15,953.37,1.14459,0.65155,0.00585,0.86637,0.8078,0.8892,0.65451,1.16125,0.70754,0.00583,0.000717546,0.000717546,0.000717546
16,1033.19,1.13371,0.64315,0.00595,0.82751,0.85049,0.89117,0.65448,1.1913,0.71403,0.00619,0.000709299,0.000709299,0.000709299
17,1112.97,1.12575,0.63538,0.0058,0.83583,0.84819,0.89166,0.65257,1.17451,0.74228,0.00583,0.000701053,0.000701053,0.000701053
18,1193.26,1.11885,0.59981,0.00565,0.86341,0.82057,0.89717,0.66766,1.18716,0.72978,0.00607,0.000692806,0.000692806,0.000692806
19,1272.82,1.10321,0.59924,0.00564,0.87124,0.82175,0.8977,0.67007,1.17341,0.73502,0.00574,0.000684559,0.000684559,0.000684559
20,1352.69,1.0866,0.58419,0.00559,0.87361,0.84553,0.89625,0.6641,1.15199,0.71155,0.00593,0.000676313,0.000676313,0.000676313
