epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,123.278,1.38069,7.08059,0.00726,0.64621,0.59663,0.65012,0.42999,1.33074,1.3785,0.00766,0.0099631,0.00332103,0.0099631,0.00332103,0.0099631,0.00332103,0.0099631,0.00332103
2,235.065,1.32647,1.82959,0.0069,0.78071,0.74669,0.81349,0.54542,1.32495,1.02119,0.00783,0.0198972,0.00663241,0.0198972,0.00663241,0.0198972,0.00663241,0.0198972,0.00663241
3,359.592,1.3686,1.14225,0.00724,0.77059,0.69095,0.77408,0.50098,1.4877,1.12853,0.00852,0.0297653,0.00992178,0.0297653,0.00992178,0.0297653,0.00992178,0.0297653,0.00992178
4,463.107,1.42588,1.08137,0.00778,0.73395,0.62684,0.72558,0.45867,1.50662,1.29272,0.01021,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,549.067,1.40565,0.98976,0.00762,0.82647,0.77837,0.84614,0.56706,1.38907,0.9375,0.00843,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,635.852,1.35948,0.90374,0.00717,0.78489,0.71804,0.79345,0.51876,1.39928,1.03393,0.00819,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,747.117,1.33888,0.85423,0.007,0.84681,0.79314,0.86678,0.58894,1.3383,0.86032,0.00768,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,832.856,1.32222,0.82559,0.00687,0.85273,0.82572,0.87944,0.62049,1.2869,0.79296,0.00717,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,917.989,1.30864,0.78186,0.00672,0.85321,0.84152,0.88952,0.62956,1.26595,0.76081,0.00705,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1004.57,1.2943,0.74803,0.00659,0.87374,0.84236,0.89767,0.63765,1.25801,0.75575,0.00683,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1090.92,1.27717,0.72359,0.00645,0.86149,0.85141,0.90119,0.63687,1.27261,0.73854,0.00696,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1174.34,1.2636,0.70848,0.00632,0.86328,0.83632,0.8976,0.64494,1.22412,0.72144,0.00652,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1258.52,1.25502,0.68482,0.00624,0.88084,0.83756,0.90782,0.64816,1.22026,0.66913,0.00664,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1345.13,1.24455,0.68176,0.00617,0.90315,0.86955,0.918,0.66257,1.20055,0.67148,0.0065,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1430.66,1.24607,0.6777,0.00616,0.87357,0.859,0.90563,0.64677,1.2471,0.69538,0.0066,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1515.58,1.23971,0.65724,0.006,0.89147,0.86627,0.91211,0.66654,1.19227,0.65102,0.0064,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1600.51,1.22699,0.65248,0.00596,0.89915,0.84949,0.92018,0.67335,1.18609,0.62889,0.00614,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1685.49,1.21923,0.62856,0.00593,0.8903,0.83148,0.89735,0.66072,1.17797,0.71481,0.00606,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1773.01,1.20696,0.62073,0.00584,0.90201,0.85837,0.92487,0.67682,1.16908,0.59942,0.006,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1857.68,1.20307,0.62195,0.00578,0.89691,0.88445,0.92547,0.67954,1.18275,0.61524,0.00615,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1942.91,1.19204,0.6051,0.00574,0.91605,0.87569,0.92915,0.68702,1.15321,0.58862,0.00593,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2028.24,1.18625,0.58803,0.00562,0.90879,0.88114,0.92751,0.68312,1.15127,0.59754,0.0058,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2116.54,1.18926,0.57985,0.0056,0.93435,0.87691,0.93831,0.69591,1.13205,0.5617,0.00575,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2201.66,1.18333,0.57797,0.00557,0.90906,0.88515,0.93362,0.70116,1.12271,0.55718,0.00557,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2286.89,1.17135,0.56394,0.00554,0.91634,0.89743,0.9407,0.70878,1.1137,0.54398,0.00554,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2371.15,1.16436,0.56583,0.00545,0.91221,0.88863,0.94138,0.70578,1.11453,0.546,0.00564,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2457.39,1.16201,0.54919,0.00545,0.91814,0.90407,0.9435,0.7128,1.11722,0.52845,0.00561,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2541.93,1.15614,0.53919,0.00539,0.91757,0.90828,0.94497,0.71196,1.12131,0.52593,0.0056,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2625.6,1.15012,0.53685,0.00536,0.92258,0.90999,0.94499,0.70941,1.11927,0.52838,0.00559,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,2710.94,1.14692,0.54491,0.00531,0.92354,0.89524,0.94343,0.714,1.0993,0.524,0.00543,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
